id,label
11150,A partir
11151,Ab-rogação
11152,Abaixo
11153,Abalo de crédito
11154,Abalo emocional
11155,Abalroamento
11156,Abalroamento por trás
11157,Abandono afetivo
11158,Abandono coletivo de trabalho
11159,Abandono da causa
11160,Abandono de animal em propriedade alheia
11161,Abandono de cargo
11162,Abandono de emprego
11163,Abandono de incapaz
11164,Abandono de lavoura
11165,Abandono de menor
11166,Abandono de mercadoria
11167,Abandono de posto
11168,Abandono de recém-nascido
11169,Abandono do lar conjugal
11170,Abandono intelectual
11171,Abandono material
11172,Abastecimento
11173,Abatimento
11174,Aberratio delicti
11175,Aberratio ictus
11176,Abertura
11177,Abertura da sucessão
11178,Abertura de crédito
11179,Abertura de testamento
11180,Abigeato
11181,Abolitio criminis
11182,Abono anual
11183,Abono de faltas
11184,Abono de permanência em serviço
11185,Abono especial
11186,Abono pecuniário
11187,Abono por assiduidade
11188,Abono previdenciário
11189,Abono-família
11190,Abordagem policial
11191,Aborto
11192,Aborto necessário
11193,Aborto provocado
11194,Abrangência
11195,Abril
11196,Absoluta impropriedade do objeto
11197,Absolutamente incapaz
11198,Absolvição
11199,Absolvição sumária
11200,Absorção
11201,Absorção de crime
11202,Abstenção
11203,Abuso de autoridade
11204,Abuso de confiança
11205,Abuso de direito
11206,Abuso de direito de defesa
11207,Abuso de incapaz
11208,Abuso de poder
11209,Abuso do poder econômico
11210,Abuso do poder familiar
11211,Abuso na administração de sociedade por ações
11212,Abuso na fundação de sociedade por ações
11213,Abuso na prática de aviação
11214,Abuso sexual
11215,Academia de ginástica
11216,Academia militar
11217,Acareação
11218,Accessio temporis
11219,Aceitação
11220,Aceitação (direito civil)
11221,Aceitação expressa
11222,Aceitação presumida
11223,Aceitação tácita
11224,Aceite
11225,Acessibilidade
11226,Acesso
11227,Acesso à informação
11228,Acessão
11229,Acessão intelectual
11230,Acidentado
11231,Acidente
11232,Acidente aeronáutico
11233,Acidente de consumo
11234,Acidente de trânsito
11235,Acidente do trabalho
11236,Acidente em serviço
11237,Acidente ferroviário
11238,Acidente in itinere
11239,Acidente pessoal
11240,Acidente vascular cerebral (avc)
11241,Acima
11242,Acionista
11243,Acionista controlador
11244,Acionista dissidente
11245,Acionista majoritário
11246,Acionista minoritário
11247,Acionista ordinário
11248,Acionista preferencial
11249,Acionista remisso
11250,Acolhimento
11251,Acompanhamento
11252,Acompanhamento de cônjuge
11253,Acompanhamento do processo
11254,Acompanhamento médico
11255,Acordo
11256,Acordo administrativo
11257,Acordo coletivo de trabalho
11258,Acordo de assistência judiciária em matéria penal
11259,Acordo de bitributação
11260,Acordo geral sobre tarifas aduaneiras e comércio (gatt)
11261,Acordo internacional
11262,Acordo para fixação artificial de preços
11263,Acordo para fixação artificial de quantidades
11264,Acordo para o controle de rede de distribuição
11265,Acordo para o controle de rede de fornecedores
11266,Acordo para o controle regionalizado do mercado
11267,Acordo trabalhista
11268,Acre
11269,Acréscimo
11270,Acréscimo legal
11271,Acréscimo patrimonial
11272,Acumulação
11273,Acumulação remunerada
11274,Acusado
11275,Acusação
11276,Acusação falsa
11277,Acórdão
11278,Acórdão embargado
11279,Acórdão paradigma
11280,Acórdão recorrido
11281,Acórdão rescindendo
11282,Adaptação
11283,Adequação
11284,Adesão
11285,Adiamento
11286,Adiantamento
11287,Adiantamento da legítima
11288,Adicional
11289,Adicional ao frete para renovação da marinha mercante (afrmm)
11290,Adicional bienal
11291,Adicional da sexta-parte
11292,Adicional de atividade específica
11293,Adicional de férias
11294,Adicional de gestão educacional (age)
11295,Adicional de habilitação militar
11296,Adicional de hora de repouso e alimentação
11297,Adicional de icms
11298,Adicional de imposto de renda
11299,Adicional de inatividade
11300,Adicional de indenização do trabalhador portuário avulso (aitp)
11301,Adicional de insalubridade
11302,Adicional de magistério
11303,Adicional de padrão judiciário (apj)
11304,Adicional de periculosidade
11305,Adicional de qualificação (aq)
11306,Adicional de risco
11307,Adicional de sobreaviso
11308,Adicional de tarifa aeroportuária (ataero)
11309,Adicional de tarifa portuária (atp)
11310,Adicional de transferência
11311,Adicional noturno
11312,Adicional pelo exercício de atividade penosa
11313,Adicional por serviço extraordinário
11314,Adicional por tempo de serviço
11315,Adido militar
11316,Adimplemento
11317,Aditamento
11318,Adjudicatário
11319,Adjudicação
11320,Adjudicação compulsória
11321,Adjunção
11322,Administrado
11323,Administrador
11324,Administrador provisório
11325,Administradora
11326,Administração
11327,Administração da justiça
11328,Administração direta
11329,Administração indireta
11330,Administração militar
11331,Administração pública
11332,Administração pública estadual
11333,Administração pública federal
11334,Admissibilidade
11335,Admissão
11336,Admissão temporária
11337,Admitir ou possibilitar modificação em favor do adjudicatário sem autorização
11338,Adolescente
11339,Adorno suntuoso
11340,Adotando
11341,Adotante
11342,Adoção
11343,Adoção internacional
11344,Adoção intuitu personae
11345,Adoção plena
11346,Adoção póstuma
11347,Adoção simples
11348,Adoção unilateral
11349,Adoção à brasileira
11350,Adquirente
11351,Adulteração de peça filatélica
11352,Adulteração de selo
11353,Adulteração de sinal identificador de veículo automotor
11354,Adulteração de substância alimentícia
11355,Adulteração de substância medicinal
11356,Adultério
11357,Advertência
11358,Advertência (estatuto da criança e do adolescente)
11359,Advertência (licitação)
11360,Advocacia
11361,Advocacia administrativa
11362,Advocacia da união
11363,Advocacia pública
11364,Advocacia-geral da união (agu)
11365,Advocacia-geral do estado
11366,Advogado
11367,Advogado constituído
11368,Advogado da união
11369,Advogado dativo
11370,Advogado-geral da união
11371,Aeronauta
11372,Aeronave
11373,Aeronave brasileira
11374,Aeronave estrangeira
11375,Aeronáutica
11376,Aeroporto
11377,Afastamento
11378,Afastamento de licitante
11379,Afastamento do serviço
11380,Afetação
11381,Afetação (recurso judicial)
11382,Affectio societatis
11383,Afiançado
11384,Afiançado (direito processual penal)
11385,Afirmação enganosa
11386,Afirmação falsa
11387,Afirmação falsa em anúncio
11388,Afirmação falsa em prospecto
11389,Afirmação incorreta
11390,Afixação
11391,Afogamento
11392,Afretador
11393,Afretamento
11394,Afretamento a casco nu
11395,Afretamento por tempo
11396,Afretamento por viagem
11397,Agenciamento marítimo
11398,Agendamento prévio
11399,Agente administrativo
11400,Agente autônomo
11401,Agente capaz
11402,Agente da receita federal
11403,Agente de polícia
11404,Agente de portaria
11405,Agente de segurança judiciária
11406,Agente de serviço de saúde
11407,Agente de telecomunicações e eletricidade
11408,Agente de vigilância
11409,Agente emissor
11410,Agente fiduciário
11411,Agente financeiro
11412,Agente fiscal
11413,Agente fiscal do imposto de renda
11414,Agente imputável
11415,Agente incapaz
11416,Agente inimputável
11417,Agente local
11418,Agente marítimo
11419,Agente penitenciário
11420,Agente político
11421,Agente público
11422,Agente sanitário
11423,Agente semi-imputável
11424,Agiota
11425,Agiotagem
11426,Agosto
11427,Agravado
11428,Agravamento
11429,Agravamento da pena
11430,Agravamento de doença
11431,Agravante
11432,Agravo
11433,Agravo de instrumento
11434,Agravo de petição
11435,Agravo em execução
11436,Agravo em recurso especial
11437,Agravo interno
11438,Agravo manifestamente infundado
11439,Agravo regimental
11440,Agravo retido
11441,Agregação
11442,Agressor
11443,Agressão
11444,Agressão armada
11445,Agressão atual
11446,Agressão física
11447,Agressão iminente
11448,Agressão moral
11449,Agressão mútua
11450,Agricultor
11451,Agrotóxico
11452,Agência
11453,Agência brasileira de inteligência (abin)
11454,Agência de desenvolvimento do nordeste (adene)
11455,Agência de fiscalização do df  (agefis-df)
11456,Agência de viagem
11457,Agência especializada da onu
11458,Agência internacional de energia atômica (aiea)
11459,Agência nacional de aviação civil (anac)
11460,Agência nacional de energia elétrica (aneel)
11461,Agência nacional de saúde suplementar (ans)
11462,Agência nacional de telecomunicações (anatel)
11463,Agência nacional de transportes aquaviários (antaq)
11464,Agência nacional de transportes terrestres (antt)
11465,Agência nacional de vigilância sanitária (anvisa)
11466,"Agência nacional do petróleo, gás natural e biocombustíveis (anp)"
11467,Agência reguladora
11468,Ajuda de custo
11469,Ajuizamento
11470,Ajuste
11471,Ajuste expresso
11472,Ajuste para fixação artificial de preço
11473,Ajuste para fixação artificial de quantidade
11474,Ajuste para o controle de rede de distribuição
11475,Ajuste para o controle de rede de fornecedores
11476,Ajuste para o controle regionalizado do mercado
11477,Alagoas
11478,Alarma social
11479,Albergado
11480,Alcoolemia
11481,Alcoolismo
11482,Alcunha
11483,Aldeamento indígena
11484,Alegação
11485,Alegações escritas
11486,Alegações finais
11487,Alegações preliminares
11488,Alemanha
11489,Alfândega
11490,Algemas
11491,Aliança para fixação artificial de preço
11492,Aliança para fixação artificial de quantidade
11493,Aliança para o controle de rede de distribuição
11494,Aliança para o controle de rede de fornecedores
11495,Aliança para o controle regionalizado do mercado
11496,Aliciamento
11497,Aliciamento de trabalhador
11498,Aliciamento para o fim de emigração
11499,Alienante
11500,Alienante fiduciário
11501,Alienação
11502,Alienação extrajudicial
11503,Alienação fiduciária
11504,Alienação forçada
11505,Alienação fraudulenta de coisa própria
11506,Alienação judicial
11507,Alienação mental
11508,Alienação parental
11509,Alienação sucessiva
11510,Alimentando
11511,Alimentante
11512,Alimentação
11513,Alimento
11514,Alimentos
11515,Alimentos avoengos
11516,Alimentos definitivos
11517,Alimentos provisionais
11518,Alimentos provisórios
11519,Alistamento eleitoral
11520,Alistamento militar
11521,Alongamento da dívida rural
11522,Alta de preços
11523,Alta médica
11524,Alteração
11525,Alteração ardilosa
11526,Alteração de direito inerente ao estado civil de recém-nascido
11527,Alteração de limites
11528,Alteração de local especialmente protegido
11529,Alteração de marca em animal
11530,Alteração de substância alimentícia
11531,Alteração de substância medicinal
11532,Alternativa
11533,Alternância
11534,Alto comissariado das nações unidas para refugiados (acnur)
11535,Alto-mar
11536,Aluguel
11537,Aluguel provisório
11538,Aluguel vencido
11539,Aluguel vincendo
11540,Aluno
11541,Aluno superdotado
11542,Aluvião
11543,Alvará de construção
11544,Alvará de funcionamento
11545,Alvará de localização
11546,Alvará de pesquisa mineral
11547,Alvará de soltura
11548,Alvará judicial
11549,Alçada
11550,Alínea
11551,Alínea a
11552,Alínea b
11553,Alínea c
11554,Alíquota
11555,Alíquota ad valorem
11556,Alíquota especial
11557,Alíquota específica
11558,Alíquota fixa
11559,Alíquota interestadual
11560,Alíquota interna
11561,Alíquota máxima
11562,Alíquota mínima
11563,Alíquota reduzida
11564,Alíquota seletiva
11565,Alíquota zero
11566,Alíquota única
11567,Amamentação
11568,Amante
11569,Amapá
11570,Amazonas
11571,Amazônia legal
11572,Ambulância
11573,Ameaça
11574,Amicus curiae
11575,Amigo íntimo
11576,Amortização
11577,Amostra
11578,Amostra grátis
11579,Amostragem
11580,Ampla defesa
11581,Ampliação
11582,Ampliação do colegiado
11583,Analfabeto
11584,Analista de finanças e controle
11585,Analista de sistemas
11586,Analista judiciário
11587,Analogia
11588,Analogia in bonam partem
11589,Analogia in malam partem
11590,Andamento
11591,Andamento do processo
11592,Andar térreo
11593,Anestesista
11594,Anexação
11595,Angola
11596,Animal
11597,Animal bravio
11598,Animal de cria
11599,Animal de pequeno porte
11600,Animal de tração
11601,Animal doméstico
11602,Animal perigoso
11603,Animal silvestre
11604,Animus caluniandi
11605,Animus diffamandi
11606,Animus injuriandi
11607,Animus narrandi
11608,Animus rixandi
11609,Anistia
11610,Anistia (direito penal)
11611,Anistia (servidor público)
11612,Anistia fiscal
11613,Anistia política
11614,Aniversário
11615,Ano
11616,Ano civil
11617,Ano letivo
11618,Ano-base
11619,Anonimato
11620,Anotação
11621,Antecedentes criminais
11622,Antecessor
11623,Antecipação
11624,Antena parabólica
11625,Anterior
11626,Antes
11627,Anticrese
11628,Antiguidade
11629,Antijuridicidade
11630,Anuidade
11631,Anulabilidade
11632,Anulação
11633,Anuênio
11634,Anverso
11635,Análise clínica
11636,Anúncio
11637,Anúncio de meio abortivo
11638,Anúncio publicitário
11639,Anúncio público
11640,Aparecimento
11641,Aparelho de recepção
11642,Aparelho de televisão
11643,Aparelho de transmissão
11644,Aparelho eletrodoméstico
11645,Aparelho eletroeletrônico
11646,Aparelho receptor de rádio
11647,Apart-hotel
11648,Apartamento
11649,Aparência
11650,Apelado
11651,Apelante
11652,Apelação criminal
11653,Apelação cível
11654,Apelação em liberdade
11655,Apelação em mandado de segurança
11656,Apelação subsidiária
11657,Apelação sumária
11658,Apelação verbal
11659,Apelido público notório
11660,Apenado
11661,Apenas
11662,Apenas um
11663,Apenas uma
11664,Apensamento
11665,Aperfeiçoamento
11666,Apesar
11667,Aplicabilidade
11668,Aplicação
11669,Aplicação da lei
11670,Aplicação da pena
11671,Aplicação do direito à espécie
11672,Aplicação financeira
11673,Aplicação financeira de curto prazo
11674,Aplicação imediata
11675,Aplicação subsidiária
11676,Apologia de crime
11677,Apologia de criminoso
11678,Aposentado
11679,Aposentadoria
11680,Aposentadoria compulsória
11681,Aposentadoria especial
11682,Aposentadoria facultativa
11683,Aposentadoria integral
11684,Aposentadoria por idade
11685,Aposentadoria por invalidez
11686,Aposentadoria por tempo de contribuição
11687,Aposentadoria por tempo de serviço
11688,Aposentadoria previdenciária
11689,Aposentadoria proporcional
11690,Aposentadoria rural
11691,Aposentadoria voluntária
11692,Aposta
11693,Apostador
11694,Apreciação
11695,Apreciação equitativa do juiz
11696,Apreensão
11697,Apreensão de título
11698,Apreensão do veículo
11699,Aprendiz
11700,Apresentação
11701,Apresentação espontânea
11702,Aprofundamento
11703,Apropriação de coisa achada
11704,Apropriação de coisa havida por caso fortuito
11705,Apropriação de coisa havida por erro
11706,Apropriação de coisa havida por força da natureza
11707,Apropriação de tesouro
11708,Apropriação indébita
11709,Apropriação indébita previdenciária
11710,Aprovação
11711,Aproveitamento
11712,Aproveitamento fracionado
11713,Aproveitamento parasitário
11714,Aptidão
11715,Aptidão física
11716,Aptidão mental
11717,Apuração
11718,Apuração de haveres
11719,Apuração eleitoral
11720,Apólice
11721,Após
11722,Aqueduto
11723,Aquestos
11724,Aquisição
11725,Aquisição a prazo
11726,Aquisição da propriedade imóvel
11727,Aquisição da propriedade móvel
11728,Aquisição de explosivo
11729,Aquisição de gás asfixiante
11730,Aquisição de gás tóxico
11731,Aquisição do governo federal (agf)
11732,Aquisição originária
11733,Arbitragem
